epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1948.28,0.93514,1.37601,1.07471,0.28055,0.45025,0.23171,0.17647,0.83898,4.79993,1.03961,0.005842,0.005842,0.005842
44,2179.81,0.92324,1.37623,1.07005,0.27632,0.45087,0.22895,0.17423,0.84397,4.88944,1.04451,0.005743,0.005743,0.005743
45,2420.84,0.92266,1.36026,1.06722,0.27709,0.45003,0.22864,0.17439,0.83692,4.5255,1.03589,0.005644,0.005644,0.005644
46,2660.25,0.92129,1.35898,1.06878,0.27139,0.44621,0.22512,0.17215,0.83148,4.52931,1.03421,0.005545,0.005545,0.005545
47,2894.98,0.91574,1.35212,1.06377,0.27252,0.42979,0.22125,0.1691,0.83003,4.73756,1.03456,0.005446,0.005446,0.005446
48,3075.43,0.91151,1.34694,1.06309,0.2697,0.4363,0.22087,0.16894,0.8306,4.75834,1.03474,0.005347,0.005347,0.005347
49,3254.46,0.9161,1.34752,1.06138,0.26604,0.42524,0.21542,0.16483,0.83443,4.87184,1.03831,0.005248,0.005248,0.005248
50,6944.16,0.90629,1.33322,1.05667,0.26915,0.42768,0.21876,0.16802,0.82801,4.88019,1.03249,0.005149,0.005149,0.005149
51,7144.71,0.90998,1.33987,1.06058,0.26997,0.42828,0.2191,0.16794,0.82486,4.83403,1.0289,0.00505,0.00505,0.00505
52,7316.54,0.90003,1.31062,1.05619,0.26695,0.42797,0.21553,0.16523,0.8203,4.98575,1.02769,0.004951,0.004951,0.004951
53,8576.26,0.9004,1.31647,1.05581,0.26729,0.42866,0.2176,0.16732,0.82276,4.83866,1.02855,0.004852,0.004852,0.004852
54,8784.45,0.89561,1.30987,1.0544,0.26609,0.43178,0.21553,0.1656,0.82042,4.95952,1.02737,0.004753,0.004753,0.004753
55,8989.09,0.89269,1.30349,1.04826,0.26573,0.42764,0.21361,0.16397,0.82391,5.06001,1.03089,0.004654,0.004654,0.004654
56,9198.94,0.88507,1.29392,1.05245,0.26419,0.43074,0.21325,0.16354,0.82233,5.07266,1.03051,0.004555,0.004555,0.004555
57,9406.68,0.88245,1.28609,1.04404,0.26368,0.42803,0.21276,0.16326,0.81956,4.98591,1.02872,0.004456,0.004456,0.004456
58,9623.93,0.8809,1.29202,1.04334,0.26278,0.43104,0.21234,0.16279,0.82168,4.91172,1.02999,0.004357,0.004357,0.004357
59,9830.68,0.87709,1.28327,1.04222,0.2644,0.43074,0.21218,0.16306,0.81992,4.99568,1.02903,0.004258,0.004258,0.004258
60,10036.8,0.87658,1.27673,1.041,0.2637,0.4288,0.2094,0.16066,0.81921,5.08184,1.02837,0.004159,0.004159,0.004159
61,10244,0.87192,1.28104,1.04027,0.26563,0.42214,0.20871,0.16016,0.8169,5.09116,1.02571,0.00406,0.00406,0.00406
62,10463.8,0.86719,1.26387,1.03797,0.26536,0.41818,0.20725,0.15905,0.81414,5.09433,1.02415,0.003961,0.003961,0.003961
63,10670.9,0.87094,1.25868,1.03893,0.26387,0.41649,0.20525,0.15758,0.81375,5.08152,1.02418,0.003862,0.003862,0.003862
64,10879.8,0.85656,1.2581,1.03313,0.26212,0.4121,0.20433,0.157,0.81227,5.13428,1.02407,0.003763,0.003763,0.003763
65,11089.6,0.85535,1.24743,1.0306,0.26243,0.41671,0.20379,0.15662,0.81135,5.15394,1.02287,0.003664,0.003664,0.003664
66,11307.7,0.84967,1.25009,1.02958,0.2621,0.41856,0.20291,0.15617,0.8125,5.13662,1.02375,0.003565,0.003565,0.003565
67,11514.1,0.85332,1.23996,1.02849,0.26147,0.41737,0.2018,0.15546,0.81243,5.18412,1.02362,0.003466,0.003466,0.003466
68,11721.1,0.85016,1.23799,1.02974,0.25991,0.41878,0.20092,0.1548,0.81325,5.24565,1.02453,0.003367,0.003367,0.003367
69,11927.7,0.84984,1.24045,1.02761,0.26021,0.41386,0.19934,0.15352,0.81193,5.25759,1.0239,0.003268,0.003268,0.003268
70,12138.9,0.85388,1.23022,1.02916,0.25845,0.41567,0.19809,0.15262,0.81004,5.26968,1.02267,0.003169,0.003169,0.003169
71,12354.5,0.84692,1.23596,1.02982,0.25731,0.4157,0.19736,0.15182,0.80954,5.28409,1.02261,0.00307,0.00307,0.00307
72,12560.8,0.84362,1.23101,1.02244,0.25674,0.41479,0.19717,0.15193,0.80907,5.28652,1.02195,0.002971,0.002971,0.002971
73,12767.9,0.84295,1.22948,1.02521,0.25746,0.41354,0.1967,0.15149,0.80969,5.2861,1.02201,0.002872,0.002872,0.002872
74,12975,0.84158,1.22232,1.02212,0.25766,0.41172,0.19626,0.15119,0.81024,5.28253,1.02189,0.002773,0.002773,0.002773
75,13195.7,0.83222,1.21038,1.02095,0.25715,0.41376,0.19562,0.15066,0.81051,5.32088,1.02195,0.002674,0.002674,0.002674
76,13405,0.82963,1.20888,1.01711,0.25723,0.41129,0.19475,0.14993,0.81054,5.3445,1.02184,0.002575,0.002575,0.002575
77,13621.9,0.82835,1.19883,1.01713,0.25674,0.40996,0.19367,0.14923,0.81119,5.37825,1.02219,0.002476,0.002476,0.002476
78,13831.2,0.82908,1.19863,1.0175,0.25663,0.41051,0.19369,0.14932,0.81156,5.40393,1.02247,0.002377,0.002377,0.002377
79,14052,0.83006,1.19822,1.01719,0.25673,0.40825,0.19284,0.14867,0.81216,5.43208,1.02285,0.002278,0.002278,0.002278
80,14261.2,0.82277,1.18863,1.01132,0.25626,0.40699,0.19203,0.14793,0.81185,5.44752,1.02268,0.002179,0.002179,0.002179
81,14470.3,0.82073,1.1824,1.00964,0.25677,0.40445,0.19103,0.14702,0.81194,5.45673,1.02273,0.00208,0.00208,0.00208
82,14679,0.81581,1.17216,1.01086,0.2563,0.40319,0.19,0.14625,0.81176,5.46573,1.02276,0.001981,0.001981,0.001981
83,14899,0.8155,1.17701,1.01014,0.25511,0.40428,0.18948,0.14589,0.81159,5.48552,1.02272,0.001882,0.001882,0.001882
84,15108.1,0.81175,1.17336,1.00676,0.25499,0.40217,0.1889,0.14545,0.81139,5.50763,1.02251,0.001783,0.001783,0.001783
85,15313.9,0.80562,1.16822,1.00578,0.25456,0.40305,0.18844,0.1451,0.81135,5.51789,1.02256,0.001684,0.001684,0.001684
86,15518.9,0.79765,1.15479,1.00215,0.2543,0.40287,0.18795,0.14481,0.81072,5.53453,1.02225,0.001585,0.001585,0.001585
87,15727.8,0.80985,1.16341,1.00721,0.25443,0.40312,0.18745,0.1443,0.81057,5.54424,1.02219,0.001486,0.001486,0.001486
88,15941.6,0.79563,1.15241,1.00112,0.25446,0.40091,0.18693,0.14396,0.80975,5.55653,1.02165,0.001387,0.001387,0.001387
89,16147.4,0.7956,1.15091,1.0009,0.25323,0.40209,0.1865,0.14373,0.8097,5.56783,1.02162,0.001288,0.001288,0.001288
90,16353.2,0.7893,1.13499,0.99724,0.25358,0.40049,0.18609,0.14345,0.80917,5.58166,1.0213,0.001189,0.001189,0.001189
91,16596.5,0.72224,1.05483,0.95646,0.25268,0.40074,0.18557,0.14301,0.80891,5.59122,1.02114,0.00109,0.00109,0.00109
92,16809.3,0.70735,1.02557,0.95135,0.25201,0.40127,0.18478,0.14241,0.80903,5.59915,1.02131,0.000991,0.000991,0.000991
